Date,PRECP,TMEAN,TMAX,DISCH,TMIN,SEDM
9/11/1990,0.526359977,0.564562044,0.555327664,0.473999996,0.602272113,0.489321149
9/12/1990,0.526843013,0.563649635,0.567683842,0.478454559,0.587557479,0.489484334
9/13/1990,0.526141461,0.567664234,0.57853927,0.480454526,0.581769002,0.4909047
9/14/1990,0.525922944,0.540547445,0.562381191,0.48609091,0.559047877,0.492126632
9/15/1990,0.526072455,0.509489051,0.549274637,0.495363615,0.527184203,0.493469974
9/16/1990,0.527613571,0.514306569,0.553726863,0.488181828,0.529510414,0.493347258
9/17/1990,0.527395055,0.486970803,0.529414707,0.485272701,0.515282662,0.493356397
9/23/1990,0.528085106,0.452372263,0.492596298,0.48863636,0.503813903,0.493711488
9/24/1990,0.528165612,0.481350365,0.527513757,0.490090908,0.509007303,0.492698433
9/25/1990,0.528165612,0.542810219,0.568684342,0.491454536,0.55558561,0.492882507
9/26/1990,0.528165612,0.559525547,0.589244622,0.488363635,0.558128212,0.492822454
9/27/1990,0.527935595,0.596313869,0.609804902,0.48609091,0.590424669,0.492545692
9/28/1990,0.530408281,0.618321168,0.614407204,0.482727283,0.618068704,0.492214099
9/29/1990,0.528418631,0.591788321,0.57883942,0.473181819,0.617203138,0.493108355
9/30/1990,0.527947096,0.526423358,0.530065033,0.469090934,0.573059237,0.492746736
10/1/1990,0.527889592,0.524963504,0.548474237,0.470363643,0.550987287,0.493172324
10/2/1990,0.52786659,0.522956204,0.547623812,0.476727285,0.548931566,0.493537859
10/5/1990,0.525416906,0.560583942,0.593896948,0.473545464,0.554665945,0.493464752
10/11/1990,0.52560092,0.580766423,0.622561281,0.478363672,0.553583987,0.492753264
10/12/1990,0.526072455,0.631131387,0.659729865,0.48490912,0.58804436,0.493023499
10/13/1990,0.527050029,0.638649635,0.643071536,0.493727293,0.617203138,0.493668407
10/14/1990,0.526141461,0.640729927,0.649374687,0.484727314,0.613470381,0.493407311
10/15/1990,0.526164462,0.586350365,0.608154077,0.491818181,0.577441169,0.494125326
10/19/1990,0.527993099,0.580291971,0.6010005,0.500090903,0.576196916,0.495234987
10/20/1990,0.528016101,0.594160584,0.611755878,0.507636335,0.585123073,0.49654047
10/21/1990,0.527349051,0.558357664,0.572236118,0.499727258,0.574790371,0.495234987
10/22/1990,0.527958597,0.515218978,0.545872936,0.499272694,0.539356235,0.495234987
10/23/1990,0.527889592,0.567153285,0.591095548,0.496636357,0.567433054,0.494778068
10/24/1990,0.52786659,0.551021898,0.547773887,0.490454553,0.590370571,0.494386423
10/25/1990,0.527832087,0.502445255,0.52096048,0.484545475,0.547362727,0.492950392
10/26/1990,0.527579068,0.529416058,0.570235118,0.495636373,0.534054639,0.494516971
10/27/1990,0.527947096,0.585072993,0.592896448,0.497818178,0.592047606,0.494516971
10/28/1990,0.527901093,0.529233577,0.547023512,0.494090906,0.558885583,0.494190601
10/29/1990,0.527878091,0.57580292,0.610755378,0.501181806,0.558993779,0.494908616
10/30/1990,0.527889592,0.614781022,0.623961981,0.497181808,0.602488504,0.494778068
10/31/1990,0.527889592,0.614124088,0.605802901,0.484545443,0.621152286,0.493342037
11/1/1990,0.527797585,0.58270073,0.590395198,0.483000008,0.591236137,0.493407311
11/2/1990,0.52786659,0.623394161,0.610405203,0.489636376,0.629916148,0.493733681
11/3/1990,0.53013226,0.593211679,0.57963982,0.482363638,0.61844739,0.492819843
11/7/1990,0.53013226,0.54,0.544872436,0.486363636,0.577170679,0.491749347
11/8/1990,0.530143761,0.525145985,0.53981991,0.491636375,0.560616716,0.492532637
11/9/1990,0.530983324,0.560875912,0.564632316,0.49527276,0.58674601,0.492650131
11/10/1990,0.530178263,0.569124088,0.594047024,0.48490912,0.567162564,0.492245431
11/11/1990,0.527889592,0.579124088,0.603701851,0.481000009,0.571544496,0.492362924
11/12/1990,0.527889592,0.591167883,0.597098549,0.483818185,0.596537733,0.493707572
11/13/1990,0.527878091,0.609708029,0.617658829,0.481000009,0.601785231,0.493524804
11/14/1990,0.527038528,0.614708029,0.622861431,0.480454526,0.603570463,0.493381201
11/15/1990,0.527843588,0.605036496,0.596698349,0.484272717,0.617527725,0.493342037
11/16/1990,0.527889592,0.552554745,0.552326163,0.484272717,0.587719773,0.493201044
